action_id,source_row,capability_id,module,capability,original_action,original_explanation,original_output,original_acceptance,historical_design_status,historical_dependency,historical_owner,historical_date,historical_execution_status,historical_evidence,requirements,tasks,current_scope,disposition,current_acceptance
M2.2-A01,35,M2.2,项目执行与问题闭环,计划与任务建立,建立阶段和Milestone,完成“建立阶段和Milestone”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-009 ; REQ-018,AT-04 ; MS-05,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.2-A02,36,M2.2,项目执行与问题闭环,计划与任务建立,导入或生成Task,完成“导入或生成Task”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-008 ; REQ-009,AT-04 ; AT-06 ; MS-05 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.2-A03,37,M2.2,项目执行与问题闭环,计划与任务建立,明确交付物和依赖,完成“明确交付物和依赖”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-009 ; REQ-018,AT-04 ; MS-05,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.2-A04,38,M2.2,项目执行与问题闭环,计划与任务建立,分配Owner,完成“分配Owner”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-009 ; REQ-018,AT-04 ; MS-05,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.2-A05,39,M2.2,项目执行与问题闭环,计划与任务建立,设置Baseline与Due,完成“设置Baseline与Due”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-009 ; REQ-018,AT-04 ; MS-05,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.2-A06,40,M2.2,项目执行与问题闭环,计划与任务建立,确认计划并记录变更,完成“确认计划并记录变更”，使“计划与任务建立”能够按统一规则执行、检查并留下可验证结果。,项目基线计划及任务责任清单,关键里程碑和任务有日期、责任、依赖并可执行,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-009 ; REQ-018,AT-04 ; MS-05,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.3-A01,41,M2.3,项目执行与问题闭环,日常执行与更新,查看待办,完成“查看待办”，使“日常执行与更新”能够按统一规则执行、检查并留下可验证结果。,持续更新的执行状态及承诺结果记录,状态真实，计划预测实际可比较，长期未更新可识别,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-010,AT-02 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.3-A02,42,M2.3,项目执行与问题闭环,日常执行与更新,更新Task和Forecast,完成“更新Task和Forecast”，使“日常执行与更新”能够按统一规则执行、检查并留下可验证结果。,持续更新的执行状态及承诺结果记录,状态真实，计划预测实际可比较，长期未更新可识别,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-009,AT-01 ; AT-04 ; AT-08 ; MS-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.3-A03,43,M2.3,项目执行与问题闭环,日常执行与更新,提交交付物或证据,完成“提交交付物或证据”，使“日常执行与更新”能够按统一规则执行、检查并留下可验证结果。,持续更新的执行状态及承诺结果记录,状态真实，计划预测实际可比较，长期未更新可识别,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-011,AT-01 ; AT-08 ; MS-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.3-A04,44,M2.3,项目执行与问题闭环,日常执行与更新,记录下一步、等待、阻塞、变化、更新时间和更新人,完成“记录下一步、等待、阻塞、变化、更新时间和更新人”，使“日常执行与更新”能够按统一规则执行、检查并留下可验证结果。,持续更新的执行状态及承诺结果记录,状态真实，计划预测实际可比较，长期未更新可识别,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-008,AT-02 ; AT-08 ; MS-04 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.4-A01,45,M2.4,项目执行与问题闭环,异常识别与记录,识别并分类Issue、Risk、Delay和Blocker,完成“识别并分类Issue、Risk、Delay和Blocker”，使“异常识别与记录”能够按统一规则执行、检查并留下可验证结果。,结构化异常记录及影响责任,分类一致，影响对象、Owner、状态和下一步明确,TARGET,TBD,TBD,TBD,未开始,,REQ-012,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.4-A02,46,M2.4,项目执行与问题闭环,异常识别与记录,关联影响对象,完成“关联影响对象”，使“异常识别与记录”能够按统一规则执行、检查并留下可验证结果。,结构化异常记录及影响责任,分类一致，影响对象、Owner、状态和下一步明确,TARGET,TBD,TBD,TBD,未开始,,REQ-012,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.4-A03,47,M2.4,项目执行与问题闭环,异常识别与记录,记录影响、严重度、原因、Owner、升级需求和重复异常,完成“记录影响、严重度、原因、Owner、升级需求和重复异常”，使“异常识别与记录”能够按统一规则执行、检查并留下可验证结果。,结构化异常记录及影响责任,分类一致，影响对象、Owner、状态和下一步明确,TARGET,TBD,TBD,TBD,未开始,,REQ-012,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.5-A01,48,M2.5,项目执行与问题闭环,恢复行动与升级,创建Recovery Action,完成“创建Recovery Action”，使“恢复行动与升级”能够按统一规则执行、检查并留下可验证结果。,恢复行动计划及责任日期结果,关键异常有行动或处置结论，逾期无效行动可升级,TARGET,TBD,TBD,TBD,未开始,,REQ-013,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.5-A02,49,M2.5,项目执行与问题闭环,恢复行动与升级,指定Owner,完成“指定Owner”，使“恢复行动与升级”能够按统一规则执行、检查并留下可验证结果。,恢复行动计划及责任日期结果,关键异常有行动或处置结论，逾期无效行动可升级,TARGET,TBD,TBD,TBD,未开始,,REQ-013,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.5-A03,50,M2.5,项目执行与问题闭环,恢复行动与升级,设置Due和恢复目标,完成“设置Due和恢复目标”，使“恢复行动与升级”能够按统一规则执行、检查并留下可验证结果。,恢复行动计划及责任日期结果,关键异常有行动或处置结论，逾期无效行动可升级,TARGET,TBD,TBD,TBD,未开始,,REQ-013,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.5-A04,51,M2.5,项目执行与问题闭环,恢复行动与升级,更新优先级、状态、进展和结果,完成“更新优先级、状态、进展和结果”，使“恢复行动与升级”能够按统一规则执行、检查并留下可验证结果。,恢复行动计划及责任日期结果,关键异常有行动或处置结论，逾期无效行动可升级,TARGET,TBD,TBD,TBD,未开始,,REQ-013,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.5-A05,52,M2.5,项目执行与问题闭环,恢复行动与升级,识别逾期无效行动并升级,完成“识别逾期无效行动并升级”，使“恢复行动与升级”能够按统一规则执行、检查并留下可验证结果。,恢复行动计划及责任日期结果,关键异常有行动或处置结论，逾期无效行动可升级,TARGET,TBD,TBD,TBD,未开始,,REQ-010 ; REQ-013,AT-05 ; AT-09 ; MS-07 ; MS-09,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.6-A01,53,M2.6,项目执行与问题闭环,管理决策,识别待决策事项,完成“识别待决策事项”，使“管理决策”能够按统一规则执行、检查并留下可验证结果。,待决策清单、决策记录和后续行动,决策事项、人员、期限、理由和结果可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-014,AT-13 ; MS-12 ; GOV-01,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M2.6-A02,54,M2.6,项目执行与问题闭环,管理决策,记录背景、影响、时限、方案和建议,完成“记录背景、影响、时限、方案和建议”，使“管理决策”能够按统一规则执行、检查并留下可验证结果。,待决策清单、决策记录和后续行动,决策事项、人员、期限、理由和结果可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-014,AT-13 ; MS-12 ; GOV-01,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M2.6-A03,55,M2.6,项目执行与问题闭环,管理决策,指定决策人,完成“指定决策人”，使“管理决策”能够按统一规则执行、检查并留下可验证结果。,待决策清单、决策记录和后续行动,决策事项、人员、期限、理由和结果可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-014,AT-13 ; MS-12 ; GOV-01,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M2.6-A04,56,M2.6,项目执行与问题闭环,管理决策,记录决定理由,完成“记录决定理由”，使“管理决策”能够按统一规则执行、检查并留下可验证结果。,待决策清单、决策记录和后续行动,决策事项、人员、期限、理由和结果可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-014,AT-13 ; MS-12 ; GOV-01,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M2.6-A05,57,M2.6,项目执行与问题闭环,管理决策,转化Action并跟踪结果,完成“转化Action并跟踪结果”，使“管理决策”能够按统一规则执行、检查并留下可验证结果。,待决策清单、决策记录和后续行动,决策事项、人员、期限、理由和结果可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-014,AT-13 ; MS-12 ; GOV-01,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M2.7-A01,58,M2.7,项目执行与问题闭环,结果确认与验证关闭,检查Action,完成“检查Action”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.7-A02,59,M2.7,项目执行与问题闭环,结果确认与验证关闭,记录结果,完成“记录结果”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.7-A03,60,M2.7,项目执行与问题闭环,结果确认与验证关闭,确认影响是否消除或接受,完成“确认影响是否消除或接受”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.7-A04,61,M2.7,项目执行与问题闭环,结果确认与验证关闭,指定验证人,完成“指定验证人”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.7-A05,62,M2.7,项目执行与问题闭环,结果确认与验证关闭,提交证据,完成“提交证据”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.7-A06,63,M2.7,项目执行与问题闭环,结果确认与验证关闭,正式关闭或重开,完成“正式关闭或重开”，使“结果确认与验证关闭”能够按统一规则执行、检查并留下可验证结果。,验证关闭记录及结果证据,Action完成不等于Issue关闭，关闭有结果、证据和验证人,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-015,AT-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.8-A01,64,M2.8,项目执行与问题闭环,历史与经验沉淀,保留计划和状态变化,完成“保留计划和状态变化”，使“历史与经验沉淀”能够按统一规则执行、检查并留下可验证结果。,结构化执行历史及问题处理案例,原因、行动、决定和结果可关联，案例来自真实关闭记录,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-009 ; REQ-011,AT-03 ; AT-04 ; AT-05 ; MS-05 ; MS-06 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.8-A02,65,M2.8,项目执行与问题闭环,历史与经验沉淀,记录Root Cause、有效无效Action、关键Decision、最终Result和可检索案例,完成“记录Root Cause、有效无效Action、关键Decision、最终Result和可检索案例”，使“历史与经验沉淀”能够按统一规则执行、检查并留下可验证结果。,结构化执行历史及问题处理案例,原因、行动、决定和结果可关联，案例来自真实关闭记录,TARGET,TBD,TBD,TBD,未开始,,REQ-011 ; REQ-016 ; REQ-017,AT-10 ; MS-09,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
