id,title,priority,requirements,dependencies,test_ids,role,assignee,definition_status,execution_status,acceptance_status,review_id,business_result
MS-02,Dataverse模型、身份和权限,P0,REQ-001 ; REQ-002 ; REQ-004 ; REQ-026,MS-00 ; GOV-01 ; GOV-02,TC-07 ; TC-08 ; TC-23 ; TC-32,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,用正式关系和权限承载业务事实，避免迁移后关系和数据归属混乱。
MS-03,公共API与服务端规则,P0,REQ-004 ; REQ-008 ; REQ-011 ; REQ-015 ; REQ-026,MS-01 ; MS-02,TC-02 ; TC-13 ; TC-16 ; TC-17 ; TC-23 ; TC-32,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,Canvas、导入及直接表写入都遵守关键规则，重复与并发有明确结果。
MS-04,Canvas统一Program与Project Hub,P0,REQ-005 ; REQ-006 ; REQ-007 ; REQ-023,MS-02 ; MS-03,TC-03 ; TC-10 ; TC-22 ; TC-23,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,完整范围英文应用中可搜索、分类、下钻和真实保存。
MS-05,建案模板与计划维护,P0,REQ-008 ; REQ-009 ; REQ-018,MS-03 ; MS-04,TC-04 ; TC-05 ; TC-06,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,创建项目时预览后生成计划，维护日期不会覆盖Baseline。
MS-06,ProjectSKU范围与里程碑例外,P0,REQ-001 ; REQ-009,MS-03 ; MS-05,TC-07 ; TC-08 ; TC-09,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,同SKU跨项目互不影响，范围和日期变化有可靠历史。
MS-07,My Work与Issue验证闭环,P0,REQ-008 ; REQ-010 ; REQ-011 ; REQ-012 ; REQ-013 ; REQ-015,MS-03 ; MS-04,TC-02 ; TC-12 ; TC-13 ; TC-14 ; TC-23,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,团队在同一应用完成责任工作、恢复行动和验证关闭。
MS-08,应用内导入、预览与批量维护,P0,REQ-003 ; REQ-004 ; REQ-027 ; REQ-028,MS-01 ; MS-03 ; MS-04 ; GOV-02,TC-15 ; TC-16 ; TC-17 ; TC-18 ; TC-24 ; TC-25,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,团队自主上传和更新，后台逐条可见、可恢复。
MS-09,周报、提醒、Tracker与Lesson,P0,REQ-010 ; REQ-016 ; REQ-017 ; REQ-019 ; REQ-021,MS-05 ; MS-06 ; MS-07 ; MS-08,TC-19 ; TC-20 ; TC-21 ; TC-28,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,项目事实生成可追溯材料，提醒与经验复用形成持续管理。
MS-10,迁移、发布与运行交接,P0,REQ-002 ; REQ-026 ; REQ-027 ; REQ-028 ; REQ-029,MS-00 ; MS-01 ; MS-02 ; MS-03 ; MS-04 ; MS-05 ; MS-06 ; MS-07 ; MS-08 ; MS-09 ; GOV-02 ; GOV-03,TC-23 ; TC-24 ; TC-25 ; TC-26 ; TC-27,Power Platform开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,承接指定正式范围并保留新旧平台合法修改，团队独立使用。
MS-11,计划与管理效率增强,P1,REQ-009 ; REQ-018,MS-05 ; MS-06 ; MS-10,TC-06 ; TC-29,Power Platform开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,对已跑通流程增加批量调度、模板比较和计划交互。
MS-12,Review、知识与有来源AI,P1,REQ-014 ; REQ-017 ; REQ-020 ; REQ-022 ; REQ-023,MS-09 ; MS-10 ; GOV-02,TC-20 ; TC-28 ; TC-29,Power Platform开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,在事实和已验证经验上提升管理Review、检索和摘要效率。
MS-13,更多正式系统接入,P1,REQ-003 ; REQ-029,MS-10 ; GOV-01 ; GOV-02,TC-15 ; TC-16 ; TC-17 ; TC-26,Power Platform开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,在明确主数据责任和同步方向后接入PLM/Jira等来源。
GOV-01,业务字典、归属和规则决策,P0,REQ-001 ; REQ-002 ; REQ-004 ; REQ-006 ; REQ-009 ; REQ-018 ; REQ-029,,TC-03 ; TC-04 ; TC-30,产品／架构／测试协调角色,,Defined,Unassigned,Not Submitted,,让执行者不用猜字段含义，业务变化有唯一依据。
GOV-02,权限、发布与运行责任,P0,REQ-026 ; REQ-027 ; REQ-028 ; REQ-029,,TC-23 ; TC-25 ; TC-31,产品／架构／测试协调角色,,Defined,Unassigned,Not Submitted,,每类用户和后台服务有明确权限与持续运行责任。
GOV-03,试用、采纳和价值基线,P0,REQ-028 ; REQ-029,,TC-22 ; TC-24 ; TC-27,产品／架构／测试协调角色,,Defined,Unassigned,Not Submitted,,证明团队会用、能独立维护且节约实际工作，而非只完成页面。
GOV-04,成果审核、变更与双平台Gate,P0,REQ-004 ; REQ-026 ; REQ-027 ; REQ-028 ; REQ-029,,TC-25 ; TC-26 ; TC-27 ; TC-30,产品／架构／测试协调角色,,Defined,Unassigned,Not Submitted,,开发结果逐项匹配目标，下一步和剩余差距始终清楚。
